Purpose,Name,Description,Beschreibung
images,55,Neighbourhood,Nachbarschaft
images,61,Natural landscape,natürliche Landschaft
images,70,Activities,Aktivitäten
images,74,Bird's eye view,Vogelperspektive
images,81,Winter,Winter
images,82,Summer,Sommer
images,87,BBQ facilities,Grill
images,89,Billiard,Billiard
images,90,Bowling,Bowling
images,94,Casino,Glücksspiel
images,95,Place of worship,Andachtsort
images,96,Children play ground,Kinderspielplatz
images,97,Darts,Dart
images,100,Fishing,Angeln
images,102,Game Room,Spielzimmer
images,103,Garden,Garten
images,104,Golf course,Golfkurs
images,106,Horse-riding,Pferdereiten
images,107,Hot Spring Bath,Baden mit heißer Quelle
images,141,Table tennis,Tischtennis
images,108,Hot Tub,Hottub
images,112,Karaoke,Karaoke
images,113,Library,Bücherei
images,114,Massage,Massage
images,115,Minigolf,Mini-Golf
images,116,Nightclub / DJ,Nachtclub
images,124,Sauna,Sauna
images,125,On-site shops,Einkaufen
images,128,Ski School,Ski-Schule
images,131,Skiing,Skilaufen
images,137,Squash,Squash
images,133,Snorkeling,Schnorcheln
images,134,Solarium,Solarium
images,143,Steam room,Dampfraum
images,153,Bathroom,Badezimmer
images,154,TV and multimedia,TV und Multimedia
images,155,Coffee/tea facilities,Kaffee-/Tee-Ecke
images,156,View (from property/room),Aussicht vom Grundstück
images,157,Balcony/Terrace,Balkon/Terasse
images,158,Kitchen or kitchenette,Küche
images,159,Living room,Wohnzimmer
images,160,Lobby or reception,Lobby/Rezeption
images,161,Lounge or bar,Lounge oder Bar
images,164,Spa and wellness centre/facili,Spa-/Wellnesseinrichtung
images,165,Fitness centre/facilities,Gymnasium
images,167,Food and drinks,Essen und Trinken
images,172,Other,Sonstiges
images,173,Photo of the whole room,gesamter Raum ist Abgebildet
images,177,Business facilities,Büroeinrichtung
images,178,Banquet/Function facilities,Bankett/Einrichtungen zur Amtsausübung
images,179,Decorative detail,dekoratives Detail
images,182,Seating area,Sitzgruppe
images,183,Floor plan,Grundriss
images,184,Dining area,Essbereich
images,185,Beach,Strand
images,186,Aqua park,Aqua-Park
images,187,Tennis court,Tennisplatz
images,188,Windsurfing,Wind-Surfen
images,189,Canoeing,Kanufahren
images,190,Hiking,Wandern
images,191,Cycling,Radfahren
images,192,Diving,Tauchen
images,193,Kids's club,Kinderclub
images,194,Evening entertainment,Abendunterhaltung
images,197,Logo/Certificate/Sign,Logo/Zertifikat/Schild
images,198,Animals,Tiere
images,199,Bedroom,Schlafzimmer
images,204,Communal kitchen,Gemeinschaftsküche
images,205,Autumn,Herbst
images,240,On site,auf dem Grundstück
images,241,Meeting/conference room,Meeting-/Konferenzzimmer
images,242,Food,Essen
images,245,Text overlay,überlagerter Text
images,246,Pets,Haustiere
images,247,Guests,Gäste
images,248,City view,Blick auf Stadt
images,249,Garden view,Blick in Garten
images,250,Lake view,Blick auf Teich
images,251,Landmark view,Blick auf Wahrzeichen
images,252,Mountain view,Blick auf Berge
images,253,Pool view,Blick auf Pool
images,254,River view,Blick auf Fluss
images,255,Sea view,Blick auf See
images,256,Street view,Blick auf Straße
images,257,Area and facilities,Umgebung/Einrichtungen
images,258,Supermarket/grocery shop,Supermarkt
images,259,Shopping Area,Einkaufsbereich
images,260,Swimming pool,Schwimmbad
images,261,Sports,Sport
images,262,Entertainment,Unterhaltung
images,263,Meals,Mahlzeiten
images,264,Breakfast,Frühstück
images,265,Continental breakfast,kleines Frühstück
images,266,Buffet breakfast,Frühstücksbuffet
images,267,Asian breakfast,Frühstück (asiatisch)
images,268,Italian breakfast,Frühstück (ital.)
images,269,English/Irish breakfast,Frühstück (engl./irisch)
images,270,American breakfast,Frühstück (amerikanisch)
images,271,Lunch,Mittagessen
images,272,Dinner,Abendessen
images,273,Drinks,Getränke
images,274,Alcoholic drinks,alkoholische Getränke
images,275,Non alcoholic drinks,alkoholfreie Getränke
images,276,Seasons,Jahreszeiten
images,277,Time of day,Tagszeit
images,278,Location,Standort
images,279,Sunrise,Sonnenaufgang
images,280,Sunset,Sonnenuntergang
images,281,children,Kinder
images,282,young children,kleine Kinder
images,283,older children,Heranwanchsende
images,284,group of guests,Gäste
images,285,cot,Kinderbett
images,286,bunk bed,Etagenbett
images,287,Certificate/Award,Zertifikat/Auszeichnung
images,288,ADAM,ADAM
images,289,Open Air Bath,Freiluftbad
images,290,Public Bath,öffentliches Bad
images,291,Family,Familie
